Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2005-07-13,10557.3896484375,10564.91015625,10512.3603515625,10513.3603515625,216660000
2005-07-14,10628.8896484375,10657.6904296875,10559.8603515625,10559.8603515625,267790000
2005-07-15,10640.830078125,10654.1201171875,10600.48046875,10629.4404296875,239700000
2005-07-18,10574.990234375,10640.1904296875,10574.990234375,10640.1904296875,206290000
2005-07-19,10646.5595703125,10668.51953125,10576.900390625,10576.900390625,318160000
2005-07-20,10689.150390625,10691.2998046875,10581.1201171875,10629.51953125,312420000
2005-07-21,10627.76953125,10700.0595703125,10608.4296875,10690.0302734375,281750000
2005-07-22,10651.1796875,10658.580078125,10588.0498046875,10624.1904296875,231480000
2005-07-25,10596.48046875,10686.5302734375,10591.5498046875,10651.66015625,190250000
2005-07-26,10579.76953125,10626.0,10572.919921875,10597.599609375,220390000
2005-07-27,10637.08984375,10645.919921875,10577.3798828125,10579.4501953125,213220000
2005-07-28,10705.5498046875,10710.48046875,10629.6796875,10633.5,220170000
2005-07-29,10640.91015625,10717.73046875,10640.91015625,10705.16015625,215280000
2005-08-01,10623.150390625,10672.3603515625,10610.8896484375,10641.7802734375,192790000
2005-08-02,10683.740234375,10699.1904296875,10623.4697265625,10623.7900390625,241690000
2005-08-03,10697.58984375,10698.0703125,10638.48046875,10681.509765625,237650000
2005-08-04,10610.099609375,10696.8798828125,10606.669921875,10696.7998046875,230600000
2005-08-05,10558.0302734375,10610.8095703125,10554.4501953125,10610.33984375,218240000
2005-08-08,10536.9296875,10606.0400390625,10524.91015625,10557.240234375,185880000
2005-08-09,10615.669921875,10639.080078125,10537.650390625,10537.650390625,207460000
2005-08-10,10594.41015625,10719.41015625,10570.0498046875,10606.51953125,258420000
2005-08-11,10685.8896484375,10685.8896484375,10588.51953125,10591.830078125,234250000
2005-08-12,10600.3095703125,10682.7802734375,10568.2998046875,10682.7001953125,218890000
2005-08-15,10634.3798828125,10655.080078125,10557.8701171875,10599.1904296875,173340000
2005-08-16,10513.4501953125,10640.26953125,10510.33984375,10631.58984375,232520000
2005-08-17,10550.7099609375,10588.9296875,10503.3701171875,10505.599609375,235040000
2005-08-18,10554.9296875,10592.900390625,10517.4296875,10549.75,213900000
2005-08-19,10559.23046875,10626.259765625,10552.7001953125,10552.7001953125,219830000
2005-08-22,10569.8896484375,10641.150390625,10523.9599609375,10559.23046875,215570000
2005-08-23,10519.580078125,10577.4599609375,10496.73046875,10571.009765625,210670000
2005-08-24,10434.8701171875,10559.0,10432.080078125,10519.33984375,256640000
2005-08-25,10450.6298828125,10465.3603515625,10428.33984375,10434.3896484375,188100000
2005-08-26,10397.2900390625,10450.9501953125,10383.98046875,10450.9501953125,192100000
2005-08-29,10463.0498046875,10487.5,10349.3701171875,10396.900390625,202970000
2005-08-30,10412.8203125,10461.5400390625,10350.0,10461.5400390625,234650000
2005-08-31,10481.599609375,10484.7900390625,10356.8701171875,10409.080078125,281200000
2005-09-01,10459.6298828125,10513.759765625,10425.7998046875,10481.4404296875,278990000
2005-09-02,10447.3701171875,10497.4501953125,10434.7099609375,10460.669921875,204490000
2005-09-06,10589.240234375,10593.0595703125,10447.6904296875,10447.6904296875,233670000
2005-09-07,10633.5,10640.4296875,10573.9501953125,10588.6796875,226790000
2005-09-08,10595.9296875,10636.490234375,10569.33984375,10633.1103515625,222990000
2005-09-09,10678.5595703125,10695.919921875,10593.9404296875,10594.099609375,247140000
2005-09-12,10682.9404296875,10701.8095703125,10664.08984375,10678.41015625,201190000
2005-09-13,10597.4404296875,10674.0302734375,10595.2900390625,10673.7099609375,222620000
2005-09-14,10544.900390625,10633.1904296875,10536.6201171875,10597.51953125,225350000
2005-09-15,10558.75,10582.0703125,10520.9296875,10545.849609375,225350000
2005-09-16,10641.9404296875,10647.3603515625,10560.419921875,10560.5,546940000
2005-09-19,10557.6298828125,10644.5703125,10521.1796875,10641.8701171875,233530000
2005-09-20,10481.51953125,10604.759765625,10467.1103515625,10558.1904296875,244560000
2005-09-21,10378.0302734375,10484.5498046875,10375.240234375,10484.23046875,266650000
2005-09-22,10422.0498046875,10444.509765625,10350.9599609375,10376.2001953125,254260000
2005-09-23,10419.58984375,10455.8095703125,10372.0595703125,10422.0498046875,238590000
2005-09-26,10443.6298828125,10509.23046875,10410.1103515625,10420.2197265625,234320000
2005-09-27,10456.2099609375,10496.25,10415.6201171875,10444.580078125,224960000
2005-09-28,10473.08984375,10512.099609375,10423.98046875,10456.6103515625,238740000
2005-09-29,10552.7802734375,10563.3701171875,10418.009765625,10472.6103515625,236020000
2005-09-30,10568.7001953125,10569.8095703125,10526.1201171875,10552.7001953125,222160000
2005-10-03,10535.48046875,10608.5595703125,10523.6298828125,10569.5,239190000
2005-10-04,10441.1103515625,10567.8203125,10434.7900390625,10534.3603515625,301840000
2005-10-05,10317.3603515625,10438.4697265625,10316.16015625,10434.8095703125,266720000
2005-10-06,10287.099609375,10369.5498046875,10218.08984375,10317.3603515625,316440000
2005-10-07,10292.3095703125,10347.2998046875,10280.6201171875,10287.419921875,237340000
2005-10-10,10238.759765625,10323.1201171875,10237.7998046875,10292.9501953125,236540000
2005-10-11,10253.169921875,10312.8798828125,10234.2001953125,10239.16015625,261000000
2005-10-12,10216.91015625,10308.8798828125,10186.08984375,10253.8095703125,293420000
2005-10-13,10216.58984375,10241.3203125,10156.4599609375,10216.91015625,270400000
2005-10-14,10287.33984375,10291.91015625,10200.099609375,10216.58984375,238950000
2005-10-17,10348.099609375,10350.990234375,10269.8095703125,10287.419921875,242880000
2005-10-18,10285.259765625,10361.4697265625,10285.259765625,10349.1396484375,297590000
2005-10-19,10414.1298828125,10414.1298828125,10232.98046875,10277.1796875,316880000
2005-10-20,10281.099609375,10432.7802734375,10252.1298828125,10411.73046875,334850000
2005-10-21,10215.2197265625,10350.98046875,10193.4501953125,10282.2197265625,357930000
2005-10-24,10385.0,10387.0,10216.1103515625,10216.1103515625,263690000
2005-10-25,10377.8701171875,10411.650390625,10316.8798828125,10383.8798828125,246960000
2005-10-26,10344.98046875,10434.4697265625,10336.8203125,10377.3896484375,266810000
2005-10-27,10229.9501953125,10349.2197265625,10229.9501953125,10344.740234375,236490000
2005-10-28,10402.76953125,10404.7001953125,10231.150390625,10231.150390625,283060000
2005-10-31,10440.0703125,10486.650390625,10403.169921875,10403.169921875,320080000
2005-11-01,10406.76953125,10455.2802734375,10406.0400390625,10440.0703125,294480000
2005-11-02,10472.73046875,10493.5400390625,10388.759765625,10406.2900390625,279710000
2005-11-03,10522.58984375,10561.16015625,10470.490234375,10470.490234375,320900000
2005-11-04,10530.759765625,10552.3798828125,10479.3896484375,10523.23046875,230870000
2005-11-07,10586.23046875,10593.349609375,10520.4296875,10531.240234375,241260000
2005-11-08,10539.7197265625,10574.2197265625,10524.2802734375,10574.1796875,201770000
2005-11-09,10546.2099609375,10601.919921875,10519.5498046875,10539.240234375,244430000
2005-11-10,10640.099609375,10655.5302734375,10519.3896484375,10541.16015625,293350000
2005-11-11,10686.0400390625,10696.4501953125,10637.4296875,10640.099609375,195880000
2005-11-14,10697.169921875,10710.0595703125,10674.2802734375,10686.599609375,211290000
2005-11-15,10686.4404296875,10741.990234375,10664.26953125,10697.169921875,267560000
2005-11-16,10674.759765625,10712.2197265625,10652.26953125,10683.0302734375,286000000
2005-11-17,10720.2197265625,10727.669921875,10665.5498046875,10677.0,274320000
2005-11-18,10766.330078125,10796.259765625,10697.25,10719.33984375,351030000
2005-11-21,10820.2802734375,10835.330078125,10761.0498046875,10766.330078125,250280000
2005-11-22,10871.4296875,10877.4296875,10787.2197265625,10815.9599609375,311190000
2005-11-23,10916.08984375,10950.75,10855.33984375,10871.4296875,236740000
2005-11-25,10931.6201171875,10955.48046875,10914.490234375,10916.08984375,122460000
2005-11-28,10890.7197265625,10951.9296875,10881.6298828125,10932.740234375,259360000
2005-11-29,10888.16015625,10959.7900390625,10888.0703125,10888.48046875,255250000
2005-11-30,10805.8701171875,10924.8203125,10803.8701171875,10883.91015625,257650000
2005-12-01,10912.5703125,10934.900390625,10806.0302734375,10806.0302734375,256980000
2005-12-02,10877.509765625,10921.3701171875,10861.66015625,10912.009765625,214900000
2005-12-05,10835.009765625,10876.9501953125,10810.669921875,10876.9501953125,237340000
2005-12-06,10856.8603515625,10936.2001953125,10835.41015625,10835.41015625,264630000
2005-12-07,10810.91015625,10868.0595703125,10764.009765625,10856.8603515625,243490000
2005-12-08,10755.1201171875,10847.25,10729.669921875,10808.4296875,253290000
2005-12-09,10778.580078125,10805.9501953125,10729.91015625,10751.759765625,238930000
2005-12-12,10767.76953125,10811.7099609375,10735.1103515625,10778.66015625,254130000
2005-12-13,10823.7197265625,10871.509765625,10751.3603515625,10765.6904296875,329050000
2005-12-14,10883.509765625,10919.76953125,10820.3203125,10821.3203125,336440000
2005-12-15,10881.669921875,10938.740234375,10865.419921875,10883.4296875,297560000
2005-12-16,10875.58984375,10940.33984375,10869.26953125,10881.669921875,419040000
2005-12-19,10836.5302734375,10922.41015625,10825.6396484375,10875.509765625,331170000
2005-12-20,10805.5498046875,10860.1396484375,10789.6201171875,10836.9296875,254440000
2005-12-21,10833.73046875,10900.8896484375,10805.6298828125,10805.6298828125,257850000
2005-12-22,10889.4404296875,10891.0400390625,10829.16015625,10831.5595703125,229500000
2005-12-23,10883.26953125,10904.7998046875,10869.830078125,10883.26953125,126720000
2005-12-27,10777.76953125,10932.8203125,10776.490234375,10883.75,174190000
2005-12-28,10796.259765625,10825.16015625,10778.25,10778.25,153230000
2005-12-29,10784.8203125,10825.240234375,10779.2197265625,10795.7001953125,160010000
2005-12-30,10717.5,10783.8603515625,10709.419921875,10783.8603515625,191020000
2006-01-03,10847.41015625,10862.7802734375,10684.4501953125,10718.2998046875,302950000
2006-01-04,10880.150390625,10892.6396484375,10833.900390625,10843.9697265625,271490000
2006-01-05,10882.150390625,10908.25,10843.650390625,10880.3896484375,250910000
2006-01-06,10959.3095703125,10968.83984375,10875.4501953125,10875.4501953125,291740000
2006-01-09,11011.900390625,11020.150390625,10944.4296875,10959.4697265625,248240000
2006-01-10,11011.580078125,11013.98046875,10949.8701171875,11010.4599609375,264270000
2006-01-11,11043.4404296875,11047.759765625,10991.9697265625,11011.66015625,266260000
2006-01-12,10962.3603515625,11045.83984375,10951.23046875,11043.4404296875,296400000
2006-01-13,10959.8701171875,10992.6904296875,10921.5302734375,10961.48046875,209940000
2006-01-17,10896.3203125,10957.8701171875,10875.599609375,10957.8701171875,251470000
2006-01-18,10854.8603515625,10890.080078125,10817.3203125,10890.080078125,361540000
2006-01-19,10880.7099609375,10915.9501953125,10852.1298828125,10855.1796875,370960000
2006-01-20,10667.3896484375,10880.7099609375,10661.150390625,10880.7099609375,519090000
2006-01-23,10688.76953125,10737.0400390625,10666.349609375,10668.75,366090000
2006-01-24,10712.2197265625,10750.3095703125,10686.0400390625,10690.2099609375,375980000
2006-01-25,10709.740234375,10760.5703125,10672.599609375,10713.259765625,412460000
2006-01-26,10809.4697265625,10827.9599609375,10710.9404296875,10711.01953125,400550000
2006-01-27,10907.2099609375,10932.33984375,10804.75,10815.3203125,398810000
2006-01-30,10899.919921875,10930.5,10887.4404296875,10908.490234375,323690000
2006-01-31,10864.8603515625,10923.4501953125,10862.1396484375,10900.400390625,369370000
2006-02-01,10953.9501953125,10967.5703125,10852.8203125,10862.1396484375,333580000
2006-02-02,10851.98046875,10950.1103515625,10827.16015625,10950.1103515625,314190000
2006-02-03,10793.6201171875,10863.580078125,10779.0595703125,10849.5703125,346600000
2006-02-06,10798.26953125,10814.509765625,10770.9697265625,10793.2998046875,263190000
2006-02-07,10749.759765625,10822.759765625,10737.669921875,10796.419921875,351880000
2006-02-08,10858.6201171875,10865.419921875,10740.6298828125,10742.16015625,330080000
2006-02-09,10883.349609375,10952.26953125,10855.740234375,10859.419921875,314190000
2006-02-10,10919.0498046875,10944.990234375,10820.2001953125,10883.509765625,303570000
2006-02-13,10892.3203125,10939.8603515625,10849.8896484375,10915.2099609375,244330000
2006-02-14,11028.3896484375,11047.6796875,10890.7197265625,10890.7197265625,307060000
2006-02-15,11058.9697265625,11068.740234375,10989.7197265625,11025.669921875,298850000
